origin,    yr,trip_code,  sample_no,sub_sample_no,area ,species,    fish_no,  lgth,lgth_code,sex,gonad_stage,     weight,otolith_weight,otolith_weight2,otolith_lgth,otolith_width,material1,material2,fish_select_meth,proj_code   ,collection_date,comments
KAH,2020,kah2001,1,1,BPLE,SNA,1,45.6,E,2,,,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,2,37.8,E,2,,1179,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,3,34.8,E,2,,895,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,4,30.3,E,3,,587,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,5,33.6,E,2,,709,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,6,33.6,E,3,,821,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,7,32.1,E,2,,718,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,8,34.1,E,2,,870,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,9,42,E,2,,1666,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,10,36.5,E,2,,1013,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,11,37.9,E,2,,1056,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,12,34,E,1,,846,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,13,40.3,E,1,,1307,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,14,40.2,E,2,,1336,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,15,36.4,E,1,,947,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,16,33.8,E,2,,821,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,17,37.6,E,2,,1054,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,18,34.2,E,1,,825,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,19,33.3,E,1,,797,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,1,1,BPLE,SNA,20,32.8,E,2,,760,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,2,1,BPLE,SNA,1,30.1,E,1,,536,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,2,1,BPLE,SNA,2,40,E,2,,1262,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,2,1,BPLE,SNA,3,38.6,E,2,,1290,,,,,1,,1,INT201803,15/02/2020,
KAH,2020,kah2001,2,1,BPLE,SNA,4,37.4,E,3,,1276,,,,,1,,1,INT201803,15/02/2020,
